epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
107,18827,0.82957,0.60244,0.00526,0.6644,0.55205,0.59351,0.31958,0.59908,0.60581,0.00419,0.0006008,0.0006008,0.0006008
108,19004.6,0.78038,0.59604,0.00549,0.69136,0.54574,0.6233,0.33277,0.61219,0.59665,0.00451,0.0005876,0.0005876,0.0005876
109,19181.8,0.86091,0.67864,0.00665,0.65036,0.54416,0.60696,0.32582,0.6153,0.58635,0.00444,0.0005744,0.0005744,0.0005744
110,19359,0.81476,0.60383,0.00549,0.62195,0.59306,0.63044,0.33281,0.61036,0.59567,0.00443,0.0005612,0.0005612,0.0005612
111,19535.9,0.85357,0.62159,0.00665,0.63065,0.62618,0.62545,0.32545,0.60742,0.60566,0.00441,0.000548,0.000548,0.000548
112,19713.3,0.82904,0.60222,0.00615,0.64841,0.59464,0.62119,0.32154,0.61387,0.61613,0.00442,0.0005348,0.0005348,0.0005348
113,19891.5,0.86441,0.64267,0.00601,0.64099,0.6111,0.62386,0.32474,0.61146,0.61192,0.0044,0.0005216,0.0005216,0.0005216
114,20069.8,0.81549,0.59274,0.00564,0.66189,0.56151,0.61135,0.32121,0.60721,0.614,0.00432,0.0005084,0.0005084,0.0005084
115,20249.1,0.82925,0.60748,0.00622,0.63715,0.6041,0.61869,0.32458,0.60306,0.63462,0.00442,0.0004952,0.0004952,0.0004952
116,20428.1,0.85161,0.62771,0.00593,0.68116,0.54101,0.607,0.31878,0.61905,0.60183,0.00451,0.000482,0.000482,0.000482
117,20606.4,0.87357,0.63635,0.00588,0.66615,0.5694,0.6133,0.31916,0.60654,0.61078,0.00444,0.0004688,0.0004688,0.0004688
118,20784.8,0.83843,0.5826,0.00579,0.65756,0.57244,0.61092,0.31558,0.6128,0.61317,0.00451,0.0004556,0.0004556,0.0004556
119,20964.5,0.79454,0.58362,0.00511,0.66439,0.5558,0.60685,0.31749,0.61543,0.59825,0.00456,0.0004424,0.0004424,0.0004424
120,21143.5,0.82516,0.56522,0.0058,0.65987,0.5694,0.61229,0.32261,0.60215,0.59835,0.00432,0.0004292,0.0004292,0.0004292
121,21323.2,0.81694,0.57365,0.00568,0.7033,0.56309,0.62244,0.32417,0.6059,0.59453,0.00439,0.000416,0.000416,0.000416
122,21502.8,0.82568,0.63546,0.00627,0.62687,0.61479,0.62298,0.3262,0.60622,0.59396,0.00435,0.0004028,0.0004028,0.0004028
123,21680.4,0.78445,0.58626,0.00525,0.66056,0.6041,0.62785,0.3226,0.60037,0.60657,0.00425,0.0003896,0.0003896,0.0003896
124,21858.4,0.80455,0.54824,0.00587,0.6641,0.55836,0.60748,0.31454,0.60141,0.60154,0.00426,0.0003764,0.0003764,0.0003764
125,22036,0.80878,0.5644,0.00599,0.65014,0.58328,0.62032,0.31823,0.6065,0.59147,0.00436,0.0003632,0.0003632,0.0003632
126,22213.9,0.81366,0.59732,0.00602,0.66619,0.58833,0.61969,0.32525,0.60859,0.59023,0.00444,0.00035,0.00035,0.00035
127,22391.7,0.79714,0.53659,0.00527,0.6701,0.57256,0.6182,0.32218,0.60895,0.59191,0.00447,0.0003368,0.0003368,0.0003368
128,22569.7,0.83394,0.59877,0.00613,0.66491,0.57886,0.62142,0.32579,0.60667,0.60302,0.00446,0.0003236,0.0003236,0.0003236
129,22748.8,0.81765,0.55929,0.0062,0.68547,0.56031,0.61491,0.32322,0.60942,0.60127,0.00445,0.0003104,0.0003104,0.0003104
130,22928.8,0.77848,0.53096,0.0056,0.6968,0.56151,0.62107,0.32843,0.60698,0.60836,0.00444,0.0002972,0.0002972,0.0002972
131,23107.8,0.81701,0.54898,0.00585,0.68315,0.56782,0.6135,0.32389,0.60856,0.6079,0.00439,0.000284,0.000284,0.000284
132,23286.3,0.7932,0.55166,0.0052,0.67311,0.57571,0.6152,0.32606,0.60799,0.60901,0.00437,0.0002708,0.0002708,0.0002708
133,23465.7,0.7553,0.51896,0.00507,0.67479,0.5836,0.62588,0.33211,0.6157,0.59192,0.00445,0.0002576,0.0002576,0.0002576
134,23644.2,0.77992,0.53484,0.00552,0.69336,0.57065,0.62685,0.33006,0.61907,0.59209,0.00445,0.0002444,0.0002444,0.0002444
135,23823.6,0.7985,0.55156,0.00524,0.65332,0.60568,0.62889,0.33138,0.61053,0.59393,0.00438,0.0002312,0.0002312,0.0002312
136,24002.2,0.70393,0.45125,0.00462,0.67757,0.57012,0.62093,0.32915,0.61323,0.5918,0.00441,0.000218,0.000218,0.000218
137,24180.8,0.72165,0.43109,0.00498,0.68327,0.56309,0.6234,0.32945,0.61012,0.60454,0.00437,0.0002048,0.0002048,0.0002048
138,24357.8,0.71771,0.46038,0.00509,0.68518,0.56985,0.62672,0.33267,0.6047,0.60881,0.00435,0.0001916,0.0001916,0.0001916
139,24533.7,0.74938,0.4483,0.00549,0.66914,0.57098,0.6169,0.33101,0.605,0.60705,0.00432,0.0001784,0.0001784,0.0001784
140,24709.9,0.75678,0.45189,0.00506,0.69627,0.56467,0.62099,0.33044,0.60717,0.60852,0.00435,0.0001652,0.0001652,0.0001652
